 214 Keith depth= 40. km, T=1246.9 Vs=4.334 km s-1
 214 Keith depth= 40. km, T=1270.6 Vs=4.322 km s-1
 214 Keith depth= 40. km, T=1289.1 Vs=4.287 km s-1
 214 Keith depth= 40. km, T=1299.8 Vs=4.240 km s-1
 214 Keith depth= 50. km, T= 607.5 Vs=4.569 km s-1
 214 Keith depth= 50. km, T= 608.0 Vs=4.569 km s-1
 214 Keith depth= 50. km, T= 608.5 Vs=4.575 km s-1
 214 Keith depth= 50. km, T= 609.3 Vs=4.567 km s-1
 214 Keith depth= 50. km, T= 610.2 Vs=4.552 km s-1
 214 Keith depth= 50. km, T= 611.1 Vs=4.576 km s-1
 214 Keith depth= 50. km, T= 611.8 Vs=4.564 km s-1
 214 Keith depth= 50. km, T= 612.8 Vs=4.559 km s-1
 214 Keith depth= 50. km, T= 613.7 Vs=4.560 km s-1
 214 Keith depth= 50. km, T= 615.0 Vs=4.532 km s-1
 214 Keith depth= 50. km, T= 615.9 Vs=4.537 km s-1
 214 Keith depth= 50. km, T= 617.1 Vs=4.543 km s-1
 214 Keith depth= 50. km, T= 618.1 Vs=4.560 km s-1
 214 Keith depth= 50. km, T= 619.4 Vs=4.546 km s-1
 214 Keith depth= 50. km, T= 620.9 Vs=4.576 km s-1
 214 Keith depth= 50. km, T= 622.3 Vs=4.564 km s-1
 214 Keith depth= 50. km, T= 623.8 Vs=4.567 km s-1
 214 Keith depth= 50. km, T= 625.5 Vs=4.558 km s-1
 214 Keith depth= 50. km, T= 627.1 Vs=4.561 km s-1
 214 Keith depth= 50. km, T= 629.2 Vs=4.544 km s-1
 214 Keith depth= 50. km, T= 631.2 Vs=4.564 km s-1
 214 Keith depth= 50. km, T= 633.2 Vs=4.556 km s-1
 214 Keith depth= 50. km, T= 635.4 Vs=4.561 km s-1
 214 Keith depth= 50. km, T= 637.7 Vs=4.567 km s-1
 214 Keith depth= 50. km, T= 640.5 Vs=4.555 km s-1
 214 Keith depth= 50. km, T= 642.9 Vs=4.537 km s-1
 214 Keith depth= 50. km, T= 645.6 Vs=4.547 km s-1
 214 Keith depth= 50. km, T= 648.4 Vs=4.543 km s-1
 214 Keith depth= 50. km, T= 651.5 Vs=4.535 km s-1
 214 Keith depth= 50. km, T= 654.8 Vs=4.541 km s-1
 214 Keith depth= 50. km, T= 657.9 Vs=4.525 km s-1
 214 Keith depth= 50. km, T= 661.6 Vs=4.542 km s-1
 214 Keith depth= 50. km, T= 665.8 Vs=4.539 km s-1
 214 Keith depth= 50. km, T= 669.4 Vs=4.545 km s-1
 214 Keith depth= 50. km, T= 673.5 Vs=4.532 km s-1
 214 Keith depth= 50. km, T= 677.9 Vs=4.541 km s-1
 214 Keith depth= 50. km, T= 682.7 Vs=4.543 km s-1
 214 Keith depth= 50. km, T= 687.1 Vs=4.541 km s-1
 214 Keith depth= 50. km, T= 692.1 Vs=4.538 km s-1
 214 Keith depth= 50. km, T= 697.5 Vs=4.539 km s-1
 214 Keith depth= 50. km, T= 703.4 Vs=4.543 km s-1
 214 Keith depth= 50. km, T= 710.0 Vs=4.533 km s-1
 214 Keith depth= 50. km, T= 716.2 Vs=4.544 km s-1
 214 Keith depth= 50. km, T= 722.3 Vs=4.540 km s-1
 214 Keith depth= 50. km, T= 730.2 Vs=4.520 km s-1
 214 Keith depth= 50. km, T= 737.2 Vs=4.535 km s-1
 214 Keith depth= 50. km, T= 744.1 Vs=4.508 km s-1
 214 Keith depth= 50. km, T= 752.0 Vs=4.534 km s-1
 214 Keith depth= 50. km, T= 760.7 Vs=4.514 km s-1
 214 Keith depth= 50. km, T= 769.4 Vs=4.523 km s-1
 214 Keith depth= 50. km, T= 779.2 Vs=4.511 km s-1
 214 Keith depth= 50. km, T= 787.7 Vs=4.517 km s-1
 214 Keith depth= 50. km, T= 798.4 Vs=4.529 km s-1
 214 Keith depth= 50. km, T= 809.1 Vs=4.510 km s-1
 214 Keith depth= 50. km, T= 819.3 Vs=4.512 km s-1
 214 Keith depth= 50. km, T= 831.8 Vs=4.511 km s-1
 214 Keith depth= 50. km, T= 844.1 Vs=4.492 km s-1
 214 Keith depth= 50. km, T= 856.3 Vs=4.504 km s-1
 214 Keith depth= 50. km, T= 870.0 Vs=4.491 km s-1
 214 Keith depth= 50. km, T= 884.1 Vs=4.492 km s-1
 214 Keith depth= 50. km, T= 898.2 Vs=4.488 km s-1
 214 Keith depth= 50. km, T= 914.3 Vs=4.486 km s-1
 214 Keith depth= 50. km, T= 930.3 Vs=4.479 km s-1
 214 Keith depth= 50. km, T= 945.9 Vs=4.481 km s-1
 214 Keith depth= 50. km, T= 962.9 Vs=4.459 km s-1
 214 Keith depth= 50. km, T= 979.7 Vs=4.455 km s-1
 214 Keith depth= 50. km, T= 998.2 Vs=4.448 km s-1
 214 Keith depth= 50. km, T=1016.6 Vs=4.442 km s-1
 214 Keith depth= 50. km, T=1035.4 Vs=4.440 km s-1
 214 Keith depth= 50. km, T=1055.7 Vs=4.435 km s-1
 214 Keith depth= 50. km, T=1074.4 Vs=4.442 km s-1
 214 Keith depth= 50. km, T=1099.4 Vs=4.419 km s-1
 214 Keith depth= 50. km, T=1118.1 Vs=4.422 km s-1
 214 Keith depth= 50. km, T=1141.3 Vs=4.410 km s-1
 214 Keith depth= 50. km, T=1164.1 Vs=4.404 km s-1
 214 Keith depth= 50. km, T=1183.8 Vs=4.389 km s-1
 214 Keith depth= 50. km, T=1205.6 Vs=4.379 km s-1
 214 Keith depth= 50. km, T=1226.0 Vs=4.373 km s-1
 214 Keith depth= 50. km, T=1245.4 Vs=4.358 km s-1
 214 Keith depth= 50. km, T=1265.5 Vs=4.345 km s-1
 214 Keith depth= 50. km, T=1282.6 Vs=4.337 km s-1
 214 Keith depth= 50. km, T=1296.7 Vs=4.309 km s-1
 214 Keith depth= 50. km, T=1308.4 Vs=4.295 km s-1
 214 Keith depth= 50. km, T=1316.1 Vs=4.281 km s-1
 214 Keith depth= 50. km, T=1320.7 Vs=4.253 km s-1
 214 Keith depth= 70. km, T= 957.1 Vs=4.558 km s-1
 214 Keith depth= 70. km, T= 957.3 Vs=4.550 km s-1
 214 Keith depth= 70. km, T= 957.8 Vs=4.551 km s-1
 214 Keith depth= 70. km, T= 958.6 Vs=4.549 km s-1
 214 Keith depth= 70. km, T= 959.4 Vs=4.541 km s-1
 214 Keith depth= 70. km, T= 960.1 Vs=4.557 km s-1
 214 Keith depth= 70. km, T= 960.7 Vs=4.546 km s-1
 214 Keith depth= 70. km, T= 961.6 Vs=4.542 km s-1
 214 Keith depth= 70. km, T= 962.5 Vs=4.541 km s-1
 214 Keith depth= 70. km, T= 963.3 Vs=4.512 km s-1
 214 Keith depth= 70. km, T= 964.0 Vs=4.515 km s-1
 214 Keith depth= 70. km, T= 965.1 Vs=4.523 km s-1
 214 Keith depth= 70. km, T= 965.9 Vs=4.536 km s-1
 214 Keith depth= 70. km, T= 967.1 Vs=4.527 km s-1
 214 Keith depth= 70. km, T= 968.0 Vs=4.552 km s-1
 214 Keith depth= 70. km, T= 969.2 Vs=4.541 km s-1
 214 Keith depth= 70. km, T= 970.4 Vs=4.537 km s-1
 214 Keith depth= 70. km, T= 971.7 Vs=4.534 km s-1
 214 Keith depth= 70. km, T= 973.0 Vs=4.524 km s-1
 214 Keith depth= 70. km, T= 974.8 Vs=4.510 km s-1
 214 Keith depth= 70. km, T= 976.5 Vs=4.523 km s-1
 214 Keith depth= 70. km, T= 978.1 Vs=4.519 km s-1
 214 Keith depth= 70. km, T= 979.8 Vs=4.521 km s-1
 214 Keith depth= 70. km, T= 981.7 Vs=4.520 km s-1
 214 Keith depth= 70. km, T= 984.1 Vs=4.507 km s-1
 214 Keith depth= 70. km, T= 986.2 Vs=4.484 km s-1
 214 Keith depth= 70. km, T= 988.4 Vs=4.495 km s-1
 214 Keith depth= 70. km, T= 990.7 Vs=4.490 km s-1
 214 Keith depth= 70. km, T= 993.2 Vs=4.487 km s-1
 214 Keith depth= 70. km, T= 995.9 Vs=4.489 km s-1
 214 Keith depth= 70. km, T= 998.5 Vs=4.476 km s-1
 214 Keith depth= 70. km, T=1001.6 Vs=4.488 km s-1
 214 Keith depth= 70. km, T=1005.0 Vs=4.488 km s-1
 214 Keith depth= 70. km, T=1008.0 Vs=4.482 km s-1
 214 Keith depth= 70. km, T=1011.2 Vs=4.474 km s-1
 214 Keith depth= 70. km, T=1014.8 Vs=4.479 km s-1
 214 Keith depth= 70. km, T=1018.6 Vs=4.478 km s-1
 214 Keith depth= 70. km, T=1022.2 Vs=4.478 km s-1
 214 Keith depth= 70. km, T=1026.2 Vs=4.469 km s-1
 214 Keith depth= 70. km, T=1030.5 Vs=4.477 km s-1
 214 Keith depth= 70. km, T=1035.2 Vs=4.471 km s-1
 214 Keith depth= 70. km, T=1040.4 Vs=4.467 km s-1
 214 Keith depth= 70. km, T=1045.3 Vs=4.475 km s-1
 214 Keith depth= 70. km, T=1050.1 Vs=4.468 km s-1
 214 Keith depth= 70. km, T=1056.2 Vs=4.446 km s-1
 214 Keith depth= 70. km, T=1061.6 Vs=4.455 km s-1
 214 Keith depth= 70. km, T=1066.9 Vs=4.428 km s-1
 214 Keith depth= 70. km, T=1073.0 Vs=4.453 km s-1
 214 Keith depth= 70. km, T=1079.6 Vs=4.440 km s-1
 214 Keith depth= 70. km, T=1086.2 Vs=4.448 km s-1
 214 Keith depth= 70. km, T=1093.6 Vs=4.438 km s-1
 214 Keith depth= 70. km, T=1099.9 Vs=4.440 km s-1
 214 Keith depth= 70. km, T=1107.8 Vs=4.455 km s-1
 214 Keith depth= 70. km, T=1115.7 Vs=4.429 km s-1
 214 Keith depth= 70. km, T=1123.1 Vs=4.434 km s-1
 214 Keith depth= 70. km, T=1132.0 Vs=4.428 km s-1
 214 Keith depth= 70. km, T=1140.8 Vs=4.413 km s-1
 214 Keith depth= 70. km, T=1149.3 Vs=4.424 km s-1
 214 Keith depth= 70. km, T=1158.9 Vs=4.405 km s-1
 214 Keith depth= 70. km, T=1168.4 Vs=4.409 km s-1
 214 Keith depth= 70. km, T=1177.8 Vs=4.406 km s-1
 214 Keith depth= 70. km, T=1188.2 Vs=4.405 km s-1
 214 Keith depth= 70. km, T=1198.7 Vs=4.396 km s-1
 214 Keith depth= 70. km, T=1208.5 Vs=4.399 km s-1
 214 Keith depth= 70. km, T=1218.7 Vs=4.379 km s-1
 214 Keith depth= 70. km, T=1228.6 Vs=4.378 km s-1
 214 Keith depth= 70. km, T=1239.4 Vs=4.370 km s-1
 214 Keith depth= 70. km, T=1249.6 Vs=4.366 km s-1
 214 Keith depth= 70. km, T=1259.5 Vs=4.362 km s-1
 214 Keith depth= 70. km, T=1269.9 Vs=4.356 km s-1
 214 Keith depth= 70. km, T=1279.0 Vs=4.360 km s-1
 214 Keith depth= 70. km, T=1290.6 Vs=4.339 km s-1
 214 Keith depth= 70. km, T=1298.7 Vs=4.344 km s-1
 214 Keith depth= 70. km, T=1308.0 Vs=4.331 km s-1
 214 Keith depth= 70. km, T=1316.4 Vs=4.330 km s-1
 214 Keith depth= 70. km, T=1323.0 Vs=4.317 km s-1
 214 Keith depth= 70. km, T=1329.5 Vs=4.305 km s-1
 214 Keith depth= 70. km, T=1334.9 Vs=4.296 km s-1
 214 Keith depth= 70. km, T=1339.4 Vs=4.286 km s-1
 214 Keith depth= 70. km, T=1343.2 Vs=4.272 km s-1
 214 Keith depth= 70. km, T=1345.9 Vs=4.266 km s-1
 214 Keith depth= 70. km, T=1347.9 Vs=4.244 km s-1
 214 Keith depth= 70. km, T=1349.5 Vs=4.231 km s-1
 236 av., depth=230. km, T=1437.0 Vs=4.446 km s-1
 236 av., depth=250. km, T=1448.0 Vs=4.496 km s-1
 236 av., depth=275. km, T=1461.0 Vs=4.555 km s-1
 236 av., depth=300. km, T=1475.0 Vs=4.608 km s-1
 236 av., depth=325. km, T=1488.0 Vs=4.650 km s-1
 236 av., depth=350. km, T=1502.0 Vs=4.682 km s-1
 239 calc Vs depth= 40. km, T= 463.7 Vs=4.576 km s-1
 239 calc Vs depth= 40. km, T= 464.2 Vs=4.576 km s-1
 239 calc Vs depth= 40. km, T= 464.7 Vs=4.575 km s-1
 239 calc Vs depth= 40. km, T= 465.4 Vs=4.575 km s-1
 239 calc Vs depth= 40. km, T= 466.1 Vs=4.575 km s-1
 239 calc Vs depth= 40. km, T= 466.8 Vs=4.575 km s-1
 239 calc Vs depth= 40. km, T= 467.4 Vs=4.575 km s-1
 239 calc Vs depth= 40. km, T= 468.3 Vs=4.575 km s-1
 239 calc Vs depth= 40. km, T= 469.2 Vs=4.574 km s-1
 239 calc Vs depth= 40. km, T= 470.1 Vs=4.574 km s-1
 239 calc Vs depth= 40. km, T= 470.9 Vs=4.574 km s-1
 239 calc Vs depth= 40. km, T= 471.9 Vs=4.574 km s-1
 239 calc Vs depth= 40. km, T= 472.8 Vs=4.573 km s-1
 239 calc Vs depth= 40. km, T= 474.1 Vs=4.573 km s-1
 239 calc Vs depth= 40. km, T= 475.3 Vs=4.573 km s-1
 239 calc Vs depth= 40. km, T= 476.6 Vs=4.573 km s-1
 239 calc Vs depth= 40. km, T= 477.8 Vs=4.572 km s-1
 239 calc Vs depth= 40. km, T= 479.3 Vs=4.572 km s-1
 239 calc Vs depth= 40. km, T= 480.6 Vs=4.572 km s-1
 239 calc Vs depth= 40. km, T= 482.5 Vs=4.571 km s-1
 239 calc Vs depth= 40. km, T= 484.1 Vs=4.571 km s-1
 239 calc Vs depth= 40. km, T= 485.9 Vs=4.570 km s-1
 239 calc Vs depth= 40. km, T= 487.8 Vs=4.570 km s-1
 239 calc Vs depth= 40. km, T= 489.7 Vs=4.569 km s-1
 239 calc Vs depth= 40. km, T= 492.1 Vs=4.569 km s-1
 239 calc Vs depth= 40. km, T= 494.2 Vs=4.568 km s-1
 239 calc Vs depth= 40. km, T= 496.5 Vs=4.568 km s-1
 239 calc Vs depth= 40. km, T= 499.0 Vs=4.567 km s-1
 239 calc Vs depth= 40. km, T= 501.6 Vs=4.566 km s-1
 239 calc Vs depth= 40. km, T= 504.4 Vs=4.566 km s-1
 239 calc Vs depth= 40. km, T= 507.1 Vs=4.565 km s-1
 239 calc Vs depth= 40. km, T= 510.3 Vs=4.564 km s-1
 239 calc Vs depth= 40. km, T= 514.0 Vs=4.563 km s-1
 239 calc Vs depth= 40. km, T= 517.1 Vs=4.563 km s-1
 239 calc Vs depth= 40. km, T= 520.6 Vs=4.562 km s-1
 239 calc Vs depth= 40. km, T= 524.5 Vs=4.561 km s-1
 239 calc Vs depth= 40. km, T= 528.6 Vs=4.560 km s-1
 239 calc Vs depth= 40. km, T= 532.4 Vs=4.559 km s-1
 239 calc Vs depth= 40. km, T= 536.8 Vs=4.558 km s-1
 239 calc Vs depth= 40. km, T= 541.5 Vs=4.557 km s-1
 239 calc Vs depth= 40. km, T= 546.7 Vs=4.555 km s-1
 239 calc Vs depth= 40. km, T= 552.4 Vs=4.554 km s-1
 239 calc Vs depth= 40. km, T= 557.8 Vs=4.553 km s-1
 239 calc Vs depth= 40. km, T= 563.1 Vs=4.551 km s-1
 239 calc Vs depth= 40. km, T= 570.0 Vs=4.550 km s-1
 239 calc Vs depth= 40. km, T= 576.2 Vs=4.548 km s-1
 239 calc Vs depth= 40. km, T= 582.3 Vs=4.546 km s-1
 239 calc Vs depth= 40. km, T= 589.2 Vs=4.545 km s-1
 239 calc Vs depth= 40. km, T= 597.0 Vs=4.543 km s-1
 239 calc Vs depth= 40. km, T= 604.7 Vs=4.541 km s-1
 239 calc Vs depth= 40. km, T= 613.4 Vs=4.539 km s-1
 239 calc Vs depth= 40. km, T= 621.0 Vs=4.537 km s-1
 239 calc Vs depth= 40. km, T= 630.5 Vs=4.535 km s-1
 239 calc Vs depth= 40. km, T= 640.2 Vs=4.532 km s-1
 239 calc Vs depth= 40. km, T= 649.4 Vs=4.530 km s-1
 239 calc Vs depth= 40. km, T= 660.7 Vs=4.527 km s-1
 239 calc Vs depth= 40. km, T= 671.9 Vs=4.524 km s-1
 239 calc Vs depth= 40. km, T= 683.1 Vs=4.521 km s-1
 239 calc Vs depth= 40. km, T= 695.8 Vs=4.518 km s-1
 239 calc Vs depth= 40. km, T= 708.9 Vs=4.515 km s-1
 239 calc Vs depth= 40. km, T= 722.1 Vs=4.512 km s-1
 239 calc Vs depth= 40. km, T= 737.2 Vs=4.508 km s-1
 239 calc Vs depth= 40. km, T= 752.6 Vs=4.504 km s-1
 239 calc Vs depth= 40. km, T= 767.6 Vs=4.500 km s-1
 239 calc Vs depth= 40. km, T= 784.2 Vs=4.496 km s-1
 239 calc Vs depth= 40. km, T= 800.8 Vs=4.492 km s-1
 239 calc Vs depth= 40. km, T= 819.4 Vs=4.487 km s-1
 239 calc Vs depth= 40. km, T= 838.2 Vs=4.482 km s-1
